condition,outcome,model_id,n_contributors,n_nonmissing,n_missing,mean,median,sd,mad,min,max,range,scale_width,sd_per_scale,mad_per_scale,range_per_scale
Former skeptics,donation_ams,gemini-3.1-pro-preview,2,2,0,0.09,0.09,0.028284271247461894,0.029651999999999994,0.07,0.11,0.039999999999999994,10,0.0028284271247461896,0.0029651999999999994,0.003999999999999999
Funding,behavior_mean,claude-opus-4-6,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Funding,behavior_mean,gemini-3.1-flash-lite,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Funding,trust_post,gemini-2.5-pro,2,2,0,3.7,3.7,0.28284271247461895,0.2965199999999999,3.5,3.9,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
High public trust,behavior_mean,claude-opus-4-6,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
High public trust,policy_specific_mean,claude-haiku-4-5,2,2,0,3.4000000000000004,3.4000000000000004,0.28284271247461895,0.2965199999999999,3.2,3.6,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Maraun,inst_trust_mean,gemini-2.5-pro,2,2,0,1.3,1.3,0.28284271247461895,0.2965199999999999,1.1,1.5,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Maraun,trust_multidimensional,gemini-2.5-flash-lite,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Sebille,funding_perceptions,claude-opus-4-6,2,2,0,1.3,1.3,0.28284271247461895,0.2965199999999999,1.1,1.5,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Sebille,inst_trust_mean,claude-opus-4-6,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Sebille,policy_general,gemini-3.1-flash-lite,2,2,0,1.2,1.2,0.28284271247461895,0.2965199999999999,1,1.4,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Sebille,policy_general,gemini-3.1-pro-preview,2,2,0,1.3,1.3,0.28284271247461895,0.2965199999999999,1.1,1.5,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Interview Prof. Sebille,trust_post,gemini-2.5-flash-lite,2,2,0,1.2,1.2,0.28284271247461895,0.2965199999999999,1,1.4,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Measurement & modeling (1),behavior_mean,claude-opus-4-6,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Measurement & modeling (1),belief_post,gemini-2.5-flash-lite,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Measurement & modeling (2),belief_post,gemini-2.5-flash-lite,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Measurement & modeling (2),policy_general,gemini-2.5-pro,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Model accuracy,behavior_mean,claude-opus-4-6,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Model accuracy,behavior_mean,gemini-3.1-flash-lite,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Model accuracy,concern_mean,gpt-5-mini,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Model accuracy,distrust_post,gemini-3.1-flash-lite,2,2,0,-1.3,-1.3,0.28284271247461895,0.2965199999999999,-1.5,-1.1,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Model accuracy,policy_specific_mean,gemini-3.1-pro-preview,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Oil industry misinformation,policy_general,gpt-5-mini,2,2,0,1.8,1.8,0.28284271247461895,0.2965199999999999,1.6,2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Peer-review,policy_specific_mean,gemini-2.5-pro,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Peer-review,trust_multidimensional,gemini-3.1-pro-preview,2,2,0,2.3,2.3,0.28284271247461895,0.2965199999999999,2.1,2.5,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Portrait Prof. Cherry,donation_ams,gemini-3.1-flash-lite,2,2,0,0.1,0.1,0.028284271247461894,0.029651999999999994,0.08,0.12,0.039999999999999994,10,0.0028284271247461896,0.0029651999999999994,0.003999999999999999
Scientist community helpers,behavior_mean,claude-opus-4-6,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Scientist community helpers,behavior_mean,gpt-5-mini,2,2,0,1,1,0.28284271247461895,0.2965199999999999,0.8,1.2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Scientist community helpers,concern_mean,gemini-3.1-flash-lite,2,2,0,1.3,1.3,0.28284271247461895,0.2965199999999999,1.1,1.5,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Scientist community helpers,funding_perceptions,claude-haiku-4-5,2,2,0,2.5999999999999996,2.5999999999999996,0.28284271247461895,0.2965199999999999,2.4,2.8,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Scientist community helpers,funding_perceptions,gemini-3.1-flash-lite,2,2,0,1.3,1.3,0.28284271247461895,0.2965199999999999,1.1,1.5,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Scientist community helpers,policy_general,gemini-2.5-pro,2,2,0,1.8,1.8,0.28284271247461895,0.2965199999999999,1.6,2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Social justice,policy_general,claude-opus-4-6,2,2,0,1.8,1.8,0.28284271247461895,0.2965199999999999,1.6,2,0.3999999999999999,100,0.0028284271247461896,0.002965199999999999,0.003999999999999999
Oil industry misinformation,trust_multidimensional,gemini-3.1-pro-preview,2,2,0,3.9,3.9,0.2828427124746186,0.29651999999999956,3.7,4.1,0.39999999999999947,100,0.002828427124746186,0.0029651999999999955,0.003999999999999995
Extreme weather predictions,distrust_post,gemini-3.1-flash-lite,2,2,0,-0.925,-0.925,0.2474873734152917,0.25945500000000005,-1.1,-0.75,0.3500000000000001,100,0.002474873734152917,0.0025945500000000006,0.003500000000000001
Extreme weather predictions,policy_general,gemini-3.1-flash-lite,2,2,0,1.125,1.125,0.2474873734152917,0.25945500000000005,0.95,1.3,0.3500000000000001,100,0.002474873734152917,0.0025945500000000006,0.003500000000000001
High public trust,policy_general,gemini-3.1-flash-lite,2,2,0,0.875,0.875,0.2474873734152917,0.25945500000000005,0.7,1.05,0.3500000000000001,100,0.002474873734152917,0.0025945500000000006,0.003500000000000001
Extreme weather predictions,behavior_mean,gemini-3.1-flash-lite,2,2,0,1.025,1.025,0.24748737341529162,0.259455,0.85,1.2,0.35,100,0.0024748737341529162,0.0025945499999999997,0.0034999999999999996
Interview Prof. Maraun,funding_perceptions,gemini-3.1-pro-preview,2,2,0,1.075,1.075,0.24748737341529162,0.259455,0.9,1.25,0.35,100,0.0024748737341529162,0.0025945499999999997,0.0034999999999999996
Peer-review,policy_role_mean,gemini-3.1-flash-lite,2,2,0,0.825,0.825,0.24748737341529162,0.259455,0.65,1,0.35,100,0.0024748737341529162,0.0025945499999999997,0.0034999999999999996
Portrait Prof. Cherry,trust_post,gemini-3.1-pro-preview,2,2,0,1.775,1.775,0.24748737341529153,0.2594549999999999,1.6,1.95,0.34999999999999987,100,0.0024748737341529154,0.002594549999999999,0.0034999999999999988
Interview Prof. Maraun,policy_general,claude-haiku-4-5,2,2,0,3.05,3.05,0.21213203435596445,0.2223900000000002,2.9,3.2,0.30000000000000027,100,0.0021213203435596446,0.002223900000000002,0.0030000000000000027
Interview Prof. Sebille,policy_role_mean,gemini-3.1-pro-preview,2,2,0,2.05,2.05,0.21213203435596445,0.2223900000000002,1.9,2.2,0.30000000000000027,100,0.0021213203435596446,0.002223900000000002,0.0030000000000000027
Oil industry misinformation,distrust_post,gemini-3.1-pro-preview,2,2,0,-4.05,-4.05,0.21213203435596445,0.2223900000000002,-4.2,-3.9,0.30000000000000027,100,0.0021213203435596446,0.002223900000000002,0.0030000000000000027
Oil industry misinformation,policy_role_mean,gemini-3.1-flash-lite,2,2,0,2.05,2.05,0.21213203435596445,0.2223900000000002,1.9,2.2,0.30000000000000027,100,0.0021213203435596446,0.002223900000000002,0.0030000000000000027
Portrait Prof. Cherry,policy_general,claude-haiku-4-5,2,2,0,2.95,2.95,0.21213203435596445,0.2223900000000002,2.8,3.1,0.30000000000000027,100,0.0021213203435596446,0.002223900000000002,0.0030000000000000027
Scientist community helpers,policy_general,claude-haiku-4-5,2,2,0,3.05,3.05,0.21213203435596445,0.2223900000000002,2.9,3.2,0.30000000000000027,100,0.0021213203435596446,0.002223900000000002,0.0030000000000000027
Consensus,distrust_post,gpt-5-mini,2,2,0,-1.35,-1.35,0.21213203435596428,0.22239000000000003,-1.5,-1.2,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,funding_perceptions,gemini-2.5-flash-lite,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,funding_perceptions,gemini-3.1-pro-preview,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,inst_trust_mean,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,policy_role_mean,claude-opus-4-6,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,policy_role_mean,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,trust_multidimensional,gemini-2.5-flash-lite,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Consensus,trust_post,gemini-2.5-flash-lite,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Corporate reliance,inst_trust_mean,gpt-5-mini,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Corporate reliance,policy_specific_mean,claude-opus-4-6,2,2,0,0.75,0.75,0.21213203435596428,0.22239000000000003,0.6,0.9,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Corporate reliance,policy_specific_mean,gemini-3.1-pro-preview,2,2,0,0.9500000000000001,0.9500000000000001,0.21213203435596428,0.22239000000000003,0.8,1.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Corporate reliance,trust_post,gemini-3.1-flash-lite,2,2,0,0.9500000000000001,0.9500000000000001,0.21213203435596428,0.22239000000000003,0.8,1.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Extreme weather predictions,behavior_mean,gemini-3.1-pro-preview,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Extreme weather predictions,belief_post,gemini-2.5-pro,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Extreme weather predictions,concern_mean,gemini-3.1-flash-lite,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Extreme weather predictions,inst_trust_mean,gemini-3.1-pro-preview,2,2,0,1.85,1.85,0.21213203435596428,0.22239000000000003,1.7,2,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Extreme weather predictions,inst_trust_mean,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,behavior_mean,gpt-5-mini,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,inst_trust_mean,gpt-5-mini,2,2,0,1.15,1.15,0.21213203435596428,0.22239000000000003,1,1.3,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,policy_general,gemini-2.5-flash-lite,2,2,0,0.75,0.75,0.21213203435596428,0.22239000000000003,0.6,0.9,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,policy_role_mean,gemini-3.1-flash-lite,2,2,0,0.9500000000000001,0.9500000000000001,0.21213203435596428,0.22239000000000003,0.8,1.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,policy_specific_mean,gemini-2.5-flash-lite,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,policy_specific_mean,gemini-3.1-flash-lite,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,policy_specific_mean,gemini-3.1-pro-preview,2,2,0,1.4500000000000002,1.4500000000000002,0.21213203435596428,0.22239000000000003,1.3,1.6,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,trust_multidimensional,gemini-3.1-flash-lite,2,2,0,1.4500000000000002,1.4500000000000002,0.21213203435596428,0.22239000000000003,1.3,1.6,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Former skeptics,trust_post,gemini-3.1-flash-lite,2,2,0,1.5499999999999998,1.5499999999999998,0.21213203435596428,0.22239000000000003,1.4,1.7,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,belief_post,claude-haiku-4-5,2,2,0,1.9500000000000002,1.9500000000000002,0.21213203435596428,0.22239000000000003,1.8,2.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,belief_post,claude-opus-4-6,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,distrust_post,gpt-5-mini,2,2,0,-1.35,-1.35,0.21213203435596428,0.22239000000000003,-1.5,-1.2,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,inst_trust_mean,claude-opus-4-6,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,inst_trust_mean,gemini-3.1-pro-preview,2,2,0,0.75,0.75,0.21213203435596428,0.22239000000000003,0.6,0.9,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,policy_role_mean,gpt-5-mini,2,2,0,-1.65,-1.65,0.21213203435596428,0.22239000000000003,-1.8,-1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,policy_specific_mean,claude-opus-4-6,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,trust_multidimensional,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Funding,trust_post,gpt-5-mini,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
High public trust,belief_post,claude-opus-4-6,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
High public trust,distrust_post,gemini-3.1-pro-preview,2,2,0,-1.65,-1.65,0.21213203435596428,0.22239000000000003,-1.8,-1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
High public trust,funding_perceptions,claude-opus-4-6,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
High public trust,funding_perceptions,gemini-2.5-flash-lite,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
High public trust,policy_specific_mean,claude-opus-4-6,2,2,0,0.75,0.75,0.21213203435596428,0.22239000000000003,0.6,0.9,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Maraun,distrust_post,gpt-5-mini,2,2,0,-1.4500000000000002,-1.4500000000000002,0.21213203435596428,0.22239000000000003,-1.6,-1.3,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Maraun,policy_specific_mean,gpt-5-mini,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Maraun,trust_post,gemini-2.5-flash-lite,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Sebille,behavior_mean,gemini-3.1-pro-preview,2,2,0,0.75,0.75,0.21213203435596428,0.22239000000000003,0.6,0.9,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Sebille,belief_post,gpt-5-mini,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Sebille,distrust_post,gpt-5-mini,2,2,0,-1.35,-1.35,0.21213203435596428,0.22239000000000003,-1.5,-1.2,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Interview Prof. Sebille,trust_post,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (1),behavior_mean,gemini-3.1-pro-preview,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (1),belief_post,gpt-5-mini,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (1),distrust_post,claude-haiku-4-5,2,2,0,-1.35,-1.35,0.21213203435596428,0.22239000000000003,-1.5,-1.2,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (1),policy_general,claude-opus-4-6,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (1),policy_general,gemini-2.5-pro,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (1),policy_specific_mean,claude-opus-4-6,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (2),distrust_post,gemini-3.1-pro-preview,2,2,0,-1.15,-1.15,0.21213203435596428,0.22239000000000003,-1.3,-1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (2),funding_perceptions,gpt-5-mini,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Measurement & modeling (2),trust_post,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,behavior_mean,gemini-2.5-pro,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,behavior_mean,gemini-3.1-pro-preview,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,belief_post,gemini-3.1-flash-lite,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,concern_mean,gemini-2.5-flash-lite,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,funding_perceptions,claude-opus-4-6,2,2,0,1.15,1.15,0.21213203435596428,0.22239000000000003,1,1.3,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,funding_perceptions,gemini-3.1-pro-preview,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,policy_specific_mean,claude-opus-4-6,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Model accuracy,policy_specific_mean,gpt-5-mini,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Oil industry misinformation,behavior_mean,claude-opus-4-6,2,2,0,1.9500000000000002,1.9500000000000002,0.21213203435596428,0.22239000000000003,1.8,2.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Oil industry misinformation,concern_mean,gpt-5-mini,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Oil industry misinformation,policy_specific_mean,claude-opus-4-6,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Peer-review,concern_mean,gemini-2.5-pro,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Peer-review,funding_perceptions,gemini-3.1-pro-preview,2,2,0,0.75,0.75,0.21213203435596428,0.22239000000000003,0.6,0.9,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Peer-review,inst_trust_mean,gemini-2.5-pro,2,2,0,1.65,1.65,0.21213203435596428,0.22239000000000003,1.5,1.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Peer-review,policy_specific_mean,gemini-3.1-pro-preview,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Portrait Prof. Cherry,belief_post,claude-haiku-4-5,2,2,0,1.9500000000000002,1.9500000000000002,0.21213203435596428,0.22239000000000003,1.8,2.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Portrait Prof. Cherry,belief_post,gpt-5-mini,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Portrait Prof. Cherry,funding_perceptions,gpt-5-mini,2,2,0,0.9500000000000001,0.9500000000000001,0.21213203435596428,0.22239000000000003,0.8,1.1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Portrait Prof. Cherry,policy_role_mean,gemini-2.5-flash-lite,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Scientist community helpers,behavior_mean,gemini-2.5-pro,2,2,0,0.65,0.65,0.21213203435596428,0.22239000000000003,0.5,0.8,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Scientist community helpers,belief_post,claude-opus-4-6,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Scientist community helpers,funding_perceptions,claude-opus-4-6,2,2,0,0.85,0.85,0.21213203435596428,0.22239000000000003,0.7,1,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Scientist community helpers,inst_trust_mean,gemini-2.5-pro,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Scientist community helpers,trust_multidimensional,gemini-2.5-flash-lite,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Social justice,behavior_mean,gemini-3.1-flash-lite,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Social justice,concern_mean,gemini-3.1-flash-lite,2,2,0,1.35,1.35,0.21213203435596428,0.22239000000000003,1.2,1.5,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
Social justice,distrust_post,gpt-5-mini,2,2,0,-0.85,-0.85,0.21213203435596428,0.22239000000000003,-1,-0.7,0.30000000000000004,100,0.002121320343559643,0.0022239000000000004,0.0030000000000000005
